ws_bin_center_ms,ws_bin_left_ms,ws_bin_right_ms,n_samples,mean_wind_speed_ms,mean_power_kw,std_power_kw,p10_power_kw,p50_power_kw,p90_power_kw
0.75,0.5,1.0,283,0.7974911660777385,4.260985576756183,1.436013445186648,2.6663736250000003,3.447774192,6.50338606
1.25,1.0,1.5,489,1.2682208588957058,3.814548168482618,1.5265926896034685,2.38982328,3.16691714,6.527808655999995
1.75,1.5,2.0,836,1.8035526315789474,2.890710326297847,1.142827832833813,1.842653475,2.756498051,4.18253352
2.25,2.0,2.5,1346,2.246961367013373,2.427397084832838,1.1958733237496033,0.7531765340000001,2.5338732569999998,4.159604429999999
2.75,2.5,3.0,1378,2.7644484760522494,3.027973595827286,4.449839456127313,0.331827753,1.9020959849999999,5.75844648
3.25,3.0,3.5,1848,3.247581168831169,5.168922417556818,7.11077726411718,0.338944505,1.915855155,18.065717772999953
3.75,3.5,4.0,2989,3.7588959518233525,6.400631311945433,7.481108300122735,0.38112192,2.4877158959999996,20.74814976
4.25,4.0,4.5,3825,4.2571111111111115,6.047003622494782,6.577387161272239,0.270760139,3.2237654079999998,17.707081
4.75,4.5,5.0,4503,4.738585387519431,5.635357260920692,6.502619568443464,0.0850991788,3.033183824,16.141918639999997
5.25,5.0,5.5,6160,5.267433441558442,6.196480014632849,6.737449917917725,0.0296568877,4.25564763,16.60753168
5.75,5.5,6.0,8774,5.75852518805562,7.206616278841702,6.831554713614153,0.13177011419999998,7.43513862,17.0491328
6.25,6.0,6.5,12990,6.26023402617398,7.494706253915007,7.457304942621744,0.1597955256,7.345182090000001,18.54304932
6.75,6.5,7.0,16176,6.749439292779427,9.672231329189184,8.406262541638212,0.223941208,9.50562072,21.929842080000004
7.25,7.0,7.5,17606,7.254380324889242,10.50771383088891,9.49539859598134,0.1846697258,9.66013192,23.83632308
7.75,7.5,8.0,19618,7.733825058619636,9.899161631993557,10.048495484027049,0.17217816,5.805767760000001,24.127573679999998
8.25,8.0,8.5,17297,8.237384517546396,9.563980812741697,10.793260603287317,0.18739232760000013,1.478377908,24.960485520000002
8.75,8.5,9.0,17376,8.748627992633516,10.640568782219859,11.064520460440061,0.1919486086,6.78885875,25.745227680000003
9.25,9.0,9.5,18241,9.242522887999563,12.748428550519646,11.722196588174596,0.298297509,9.877587680000001,28.03531185
9.75,9.5,10.0,12300,9.721321951219513,13.105540741023566,10.971852960163147,0.3258903510000001,10.501264240000001,27.853217190000002
10.25,10.0,10.5,7220,10.21797922437673,11.92726232909266,10.722648969413049,0.304972293,10.02924156,28.040110499999997
10.75,10.5,11.0,4506,10.713617399023523,10.009540939879734,9.114484668263623,0.303578634,9.566441280000001,24.768347939999998
11.25,11.0,11.5,1838,11.21138193688792,8.033451015060283,7.344479057353883,0.24933969599999997,9.6498363,17.77332024
11.75,11.5,12.0,493,11.685192697768763,10.498598037864099,5.368991034866023,0.58657765,12.565363679999999,15.8165491
12.25,12.0,12.5,62,12.152258064516122,11.375237031,7.274728754889312,1.343954436,15.906953600000001,18.05235957
