,wind_speed_hourly_ms,wind_speed_15min_ms,power_kw,wind_direction_deg
2026-09-21 22:00:00+00:00,2.6,2.6,0.0,356.0
2026-09-21 22:15:00+00:00,,2.5,0.0,
2026-09-21 22:30:00+00:00,,2.4000000000000004,0.0,
2026-09-21 22:45:00+00:00,,2.3000000000000003,0.0,
2026-09-21 23:00:00+00:00,2.2,2.2,0.0,13.0
2026-09-21 23:15:00+00:00,,2.25,0.0,
2026-09-21 23:30:00+00:00,,2.3,0.0,
2026-09-21 23:45:00+00:00,,2.35,0.0,
2026-09-22 00:00:00+00:00,2.4,2.4,0.0,10.0
2026-09-22 00:15:00+00:00,,2.475,0.0,
2026-09-22 00:30:00+00:00,,2.5500000000000003,0.0,
2026-09-22 00:45:00+00:00,,2.625,0.0,
2026-09-22 01:00:00+00:00,2.7,2.7,0.0,23.0
2026-09-22 01:15:00+00:00,,2.6750000000000003,0.0,
2026-09-22 01:30:00+00:00,,2.65,0.0,
2026-09-22 01:45:00+00:00,,2.625,0.0,
2026-09-22 02:00:00+00:00,2.6,2.6,0.0,36.0
2026-09-22 02:15:00+00:00,,2.575,0.0,
2026-09-22 02:30:00+00:00,,2.55,0.0,
2026-09-22 02:45:00+00:00,,2.525,0.0,
2026-09-22 03:00:00+00:00,2.5,2.5,0.0,31.0
2026-09-22 03:15:00+00:00,,2.425,0.0,
2026-09-22 03:30:00+00:00,,2.35,0.0,
2026-09-22 03:45:00+00:00,,2.275,0.0,
2026-09-22 04:00:00+00:00,2.2,2.2,0.0,42.0
2026-09-22 04:15:00+00:00,,2.2,0.0,
2026-09-22 04:30:00+00:00,,2.2,0.0,
2026-09-22 04:45:00+00:00,,2.2,0.0,
2026-09-22 05:00:00+00:00,2.2,2.2,0.0,39.0
2026-09-22 05:15:00+00:00,,2.3000000000000003,0.0,
2026-09-22 05:30:00+00:00,,2.4,0.0,
2026-09-22 05:45:00+00:00,,2.5,0.0,
2026-09-22 06:00:00+00:00,2.6,2.6,0.0,39.0
2026-09-22 06:15:00+00:00,,2.525,0.0,
2026-09-22 06:30:00+00:00,,2.4499999999999997,0.0,
2026-09-22 06:45:00+00:00,,2.375,0.0,
2026-09-22 07:00:00+00:00,2.3,2.3,0.0,44.0
2026-09-22 07:15:00+00:00,,2.25,0.0,
2026-09-22 07:30:00+00:00,,2.2,0.0,
2026-09-22 07:45:00+00:00,,2.15,0.0,
2026-09-22 08:00:00+00:00,2.1,2.1,0.0,54.0
2026-09-22 08:15:00+00:00,,1.9000000000000001,0.0,
2026-09-22 08:30:00+00:00,,1.7,0.0,
2026-09-22 08:45:00+00:00,,1.5,0.0,
2026-09-22 09:00:00+00:00,1.3,1.3,0.0,22.0
2026-09-22 09:15:00+00:00,,1.425,0.0,
2026-09-22 09:30:00+00:00,,1.55,0.0,
2026-09-22 09:45:00+00:00,,1.675,0.0,
2026-09-22 10:00:00+00:00,1.8,1.8,0.0,353.0
2026-09-22 10:15:00+00:00,,1.85,0.0,
2026-09-22 10:30:00+00:00,,1.9,0.0,
2026-09-22 10:45:00+00:00,,1.95,0.0,
2026-09-22 11:00:00+00:00,2.0,2.0,0.0,341.0
2026-09-22 11:15:00+00:00,,2.0,0.0,
2026-09-22 11:30:00+00:00,,2.0,0.0,
2026-09-22 11:45:00+00:00,,2.0,0.0,
2026-09-22 12:00:00+00:00,2.0,2.0,0.0,326.0
2026-09-22 12:15:00+00:00,,1.9000000000000001,0.0,
2026-09-22 12:30:00+00:00,,1.8,0.0,
2026-09-22 12:45:00+00:00,,1.7000000000000002,0.0,
2026-09-22 13:00:00+00:00,1.6,1.6,0.0,307.0
2026-09-22 13:15:00+00:00,,1.8,0.0,
2026-09-22 13:30:00+00:00,,2.0,0.0,
2026-09-22 13:45:00+00:00,,2.1999999999999997,0.0,
2026-09-22 14:00:00+00:00,2.4,2.4,0.0,264.0
2026-09-22 14:15:00+00:00,,2.3,0.0,
2026-09-22 14:30:00+00:00,,2.2,0.0,
2026-09-22 14:45:00+00:00,,2.1,0.0,
2026-09-22 15:00:00+00:00,2.0,2.0,0.0,249.0
2026-09-22 15:15:00+00:00,,1.9749999999999999,0.0,
2026-09-22 15:30:00+00:00,,1.95,0.0,
2026-09-22 15:45:00+00:00,,1.9249999999999998,0.0,
2026-09-22 16:00:00+00:00,1.9,1.9,0.0,240.0
2026-09-22 16:15:00+00:00,,1.875,0.0,
2026-09-22 16:30:00+00:00,,1.85,0.0,
2026-09-22 16:45:00+00:00,,1.825,0.0,
2026-09-22 17:00:00+00:00,1.8,1.8,0.0,236.0
2026-09-22 17:15:00+00:00,,1.8,0.0,
2026-09-22 17:30:00+00:00,,1.8,0.0,
2026-09-22 17:45:00+00:00,,1.8,0.0,
2026-09-22 18:00:00+00:00,1.8,1.8,0.0,228.0
2026-09-22 18:15:00+00:00,,1.85,0.0,
2026-09-22 18:30:00+00:00,,1.9,0.0,
2026-09-22 18:45:00+00:00,,1.95,0.0,
2026-09-22 19:00:00+00:00,2.0,2.0,0.0,216.0
2026-09-22 19:15:00+00:00,,2.025,0.0,
2026-09-22 19:30:00+00:00,,2.0500000000000003,0.0,
2026-09-22 19:45:00+00:00,,2.075,0.0,
2026-09-22 20:00:00+00:00,2.1,2.1,0.0,222.0
2026-09-22 20:15:00+00:00,,2.1,0.0,
2026-09-22 20:30:00+00:00,,2.1,0.0,
2026-09-22 20:45:00+00:00,,2.1,0.0,
2026-09-22 21:00:00+00:00,2.1,2.1,0.0,213.0
2026-09-22 21:15:00+00:00,,2.025,0.0,
2026-09-22 21:30:00+00:00,,1.95,0.0,
2026-09-22 21:45:00+00:00,,1.875,0.0,
2026-09-22 22:00:00+00:00,1.8,1.8,0.0,225.0
